102271,1,29
100416,3,2
100337,1,272
101623,2,438
103207,2,2
100337,2,3057
101472,1,134671
101616,1,2
103207,3,1
103056,1,17231
100680,1,7845
100680,2,158
103056,2,126
102264,2,572
102257,1,3
101609,1,1402
101465,1,1236
100337,4,1
100817,2,3
101386,1,2874
100587,1,1
100988,1,9463
101230,1,2953
101302,1,2271
100009,1,329
100280,1,67879
100352,1,18
101631,1,462
103071,1,35
101065,1,3779
101209,1,59
100911,2,3115
100417,1,768
101065,2,1110
100911,3,1
103071,3,27
100194,1,53
101065,3,6
100194,2,1
100681,1,26
101473,1,1261
102824,1,733189
100259,1,7
100259,2,5
102824,2,4
101466,1,3073
101394,1,56
100681,3,1
101394,2,31
102817,1,392
100739,1,20373
101387,1,191
100588,1,8
102659,1,11
102659,2,3
100996,1,22737
100989,2,1
100989,3,3
100989,4,2
101310,1,431
101231,1,1984
100017,1,556
100360,1,274651
100432,1,1864
101224,1,21
100360,2,1432
100504,2,1
101217,1,15
100425,1,52
100360,3,4
102280,1,4
100912,1,1
101704,1,152
100274,1,71
100346,1,2
103065,1,12
100905,2,68
100339,1,1
100267,1,19
101618,1,2719
101546,1,7
100833,3,1
102259,1,216
100747,1,1748
100819,1,1188
100747,2,8
100747,3,2
100596,1,6
102667,1,399
102595,1,1
102667,2,13
102667,3,65
102667,4,6
101311,1,122
101311,2,2
100025,1,2
101304,1,7
100433,1,2820
101225,1,120
100505,1,3
100433,2,4
101218,1,5
100841,1,3
101218,2,4
101633,1,108
101705,2,5
101067,2,81
100906,1,62
100690,1,374
102912,2,6
100196,1,1
100690,2,48
101705,4,80
100268,1,139
100690,3,109
102267,1,11
102339,1,402
100755,1,830
102267,2,3
102339,2,111
100196,3,16
102339,3,45
101396,1,6
101468,1,75
102339,4,2
102675,1,8
100998,1,9389
100998,2,41647
100998,3,4
101312,1,13
100520,1,1
101240,1,12
100520,2,1
101240,2,7
100520,3,2
100441,1,793
100019,1,5
101720,1,18
102361,1,7
100283,1,38455
101490,1,291
101706,1,710
102282,1,10
101490,2,13
100348,1,1
100907,1,2
100276,2,1
100763,1,269
100835,1,2
102834,1,691
100269,1,7400
100269,2,27037
102827,1,39
102683,1,954
101469,1,319
100677,1,11
102597,1,79
102597,2,13
100041,1,16
100113,1,57
100041,2,23
100113,3,18
100041,3,2
101313,1,1
100521,2,12
100027,1,1
100370,1,193
102434,1,4
100922,1,211
102434,2,3
100850,2,5
100922,2,34
100843,1,157345
102434,3,6
100356,2,4
103075,1,89
101635,1,10
101707,1,279
102914,1,957
102434,4,1
100843,2,14401
100284,3,1
100850,4,1
100843,3,2027
103075,3,2
100836,1,2
100908,1,29
102914,2,1
100198,1,1
102348,3,3
100829,1,1
100757,1,4994
100685,2,65
100757,2,5254
100757,3,42
100829,3,4
100042,2,2
101321,1,34
102600,1,18924
100371,1,7189
101235,1,256
100515,1,126240
100443,1,80
102514,1,1
100930,1,339
103162,1,114315
101650,1,41
100371,2,440
103162,2,7549
103162,3,1211
101571,1,132628
102435,1,1
102507,1,2
100357,1,126
103162,4,1785
101571,2,5
100772,1,5454
102356,1,3
100357,2,7
102442,5,1
100916,1,47467
102356,2,5
100278,1,3
100772,2,891
101571,4,104
102843,1,4
102284,3,711
100278,2,4
100837,1,140
102277,1,361
100199,1,39
